Id,Name,Rating,ImageUrl
1,Anaheim,1500,null
2,Atlanta,1500,null
3,Baltimore,1500,null
4,Boston,1500,null
5,Bronx,1500,null
6,Brooklyn,1500,null
7,Buffallo,1500,null
8,Buffalo,1500,null
9,Calgary,1500,null
10,Charlotte,1500,null
11,Chicago,1500,null
12,Cincinnati,1500,null
13,Cleveland,1500,null
14,Columbus,1500,null
15,Dallas,1500,null
16,Denver,1500,null
17,Detroit,1500,null
18,Edmonton,1500,null
19,Green Bay,1500,null
20,Houston,1500,null
21,Indianapolis,1500,null
22,Jacksonville,1500,null
23,Kansas City,1500,null
24,Las Vegas,1500,null
25,Los Angeles,1500,null
26,Memphis,1500,null
27,Miami,1500,null
28,Milwaukee,1500,null
29,Mimai,1500,null
30,Minneapolis,1500,null
31,Montreal,1500,null
32,Nashville,1500,null
33,New Orleans,1500,null
34,New York,1500,null
35,Newark,1500,null
36,Oakland,1500,null
37,Oklahoma City,1500,null
38,Orlando,1500,null
39,Ottawa,1500,null
40,Philadelphia,1500,null
41,Phoenix,1500,null
42,Pittsburgh,1500,null
43,Portland,1500,null
44,Raleigh,1500,null
45,Sacramento,1500,null
46,Salt Lake City,1500,null
47,San Antonio,1500,null
48,San Diego,1500,null
49,San Francisco,1500,null
50,San Jose,1500,null
51,Seattle,1500,null
52,St. Louis,1500,null
53,St. Paul,1500,null
54,Sunrise,1500,null
55,Tampa,1500,null
56,Toronto,1500,null
57,Vancouver,1500,null
58,Washington,1500,null
59,Winnipeg,1500,null
