Id,Abbreviation,Name,Capital,Rating,ImageUrl
1,AL,Alabama,Montgomery,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/alabama.svg
2,AK,Alaska,Juneau,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/alaska.svg
3,AZ,Arizona,Phoenix,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/arizona.svg
4,AR,Arkansas,Little Rock,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/arkansas.svg
5,CA,California,Sacramento,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/california.svg
6,CO,Colorado,Denver,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/colorado.svg
7,CT,Connecticut,Hartford,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/connecticut.svg
8,DE,Delaware,Dover,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/delaware.svg
9,FL,Florida,Tallahassee,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/florida.svg
10,GA,Georgia,Atlanta,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/georgia.svg
11,HI,Hawaii,Honolulu,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/hawaii.svg
12,ID,Idaho,Boise,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/idaho.svg
13,IL,Illinois,Springfield,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/illinois.svg
14,IN,Indiana,Indianapolis,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/indiana.svg
15,IA,Iowa,Des Moines,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/iowa.svg
16,KS,Kansas,Topeka,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/kansas.svg
17,KY,Kentucky,Frankfort,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/kentucky.svg
18,LA,Louisiana,Baton Rouge,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/louisiana.svg
19,ME,Maine,Augusta,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/maine.svg
20,MD,Maryland,Annapolis,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/maryland.svg
21,MA,Massachusetts,Boston,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/massachusetts.svg
22,MI,Michigan,Lansing,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/michigan.svg
23,MN,Minnesota,Saint Paul,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/minnesota.svg
24,MS,Mississippi,Jackson,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/mississippi.svg
25,MO,Missouri,Jefferson City,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/missouri.svg
26,MT,Montana,Helena,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/montana.svg
27,NE,Nebraska,Lincoln,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/nebraska.svg
28,NV,Nevada,Carson City,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/nevada.svg
29,NH,New Hampshire,Concord,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/newhampshire.svg
30,NJ,New Jersey,Trenton,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/newjersey.svg
31,NM,New Mexico,Santa Fe,1500,https://sportrankerstorage.blob.core.windows.net/locations-images/newmexico.svg
